id,region,ticker,date,value_usd
1199,china,gdp,2019-04-13,24150260000000.0
1200,china,gdp,2019-04-14,24150260000000.0
1201,china,gdp,2019-04-15,24150260000000.0
1202,china,gdp,2019-04-16,24150260000000.0
1203,china,gdp,2019-04-17,24150260000000.0
1204,china,gdp,2019-04-18,24150260000000.0
1205,china,gdp,2019-04-19,24150260000000.0
1206,china,gdp,2019-04-20,24150260000000.0
1207,china,gdp,2019-04-21,24150260000000.0
1208,china,gdp,2019-04-22,24150260000000.0
1209,china,gdp,2019-04-23,24150260000000.0
1210,china,gdp,2019-04-24,24150260000000.0
1211,china,gdp,2019-04-25,24150260000000.0
1212,china,gdp,2019-04-26,24150260000000.0
1213,china,gdp,2019-04-27,24150260000000.0
1214,china,gdp,2019-04-28,24150260000000.0
1215,china,gdp,2019-04-29,24150260000000.0
1216,china,gdp,2019-04-30,24150260000000.0
1217,china,gdp,2019-05-01,24150260000000.0
1218,china,gdp,2019-05-02,24150260000000.0
1219,china,gdp,2019-05-03,24150260000000.0
1220,china,gdp,2019-05-04,24150260000000.0
1221,china,gdp,2019-05-05,24150260000000.0
1222,china,gdp,2019-05-06,24150260000000.0
1223,china,gdp,2019-05-07,24150260000000.0
1224,china,gdp,2019-05-08,24150260000000.0
1225,china,gdp,2019-05-09,24150260000000.0
1226,china,gdp,2019-05-10,24150260000000.0
1227,china,gdp,2019-05-11,24150260000000.0
1228,china,gdp,2019-05-12,24150260000000.0
1229,china,gdp,2019-05-13,24150260000000.0
1230,china,gdp,2019-05-14,24150260000000.0
1231,china,gdp,2019-05-15,24150260000000.0
1232,china,gdp,2019-05-16,24150260000000.0
1233,china,gdp,2019-05-17,24150260000000.0
1234,china,gdp,2019-05-18,24150260000000.0
1235,china,gdp,2019-05-19,24150260000000.0
1236,china,gdp,2019-05-20,24150260000000.0
1237,china,gdp,2019-05-21,24150260000000.0
1238,china,gdp,2019-05-22,24150260000000.0
1239,china,gdp,2019-05-23,24150260000000.0
1240,china,gdp,2019-05-24,24150260000000.0
1241,china,gdp,2019-05-25,24150260000000.0
1242,china,gdp,2019-05-26,24150260000000.0
1243,china,gdp,2019-05-27,24150260000000.0
1244,china,gdp,2019-05-28,24150260000000.0
1245,china,gdp,2019-05-29,24150260000000.0
1246,china,gdp,2019-05-30,24150260000000.0
1247,china,gdp,2019-05-31,24150260000000.0
1248,china,gdp,2019-06-01,24150260000000.0
1249,china,gdp,2019-06-02,24150260000000.0
1250,china,gdp,2019-06-03,24150260000000.0
1251,china,gdp,2019-06-04,24150260000000.0
1252,china,gdp,2019-06-05,24150260000000.0
1253,china,gdp,2019-06-06,24150260000000.0
1254,china,gdp,2019-06-07,24150260000000.0
1255,china,gdp,2019-06-08,24150260000000.0
1256,china,gdp,2019-06-09,24150260000000.0
1257,china,gdp,2019-06-10,24150260000000.0
1258,china,gdp,2019-06-11,24150260000000.0
1259,china,gdp,2019-06-12,24150260000000.0
1260,china,gdp,2019-06-13,24150260000000.0
1261,china,gdp,2019-06-14,24150260000000.0
1262,china,gdp,2019-06-15,24150260000000.0
1263,china,gdp,2019-06-16,24150260000000.0
1264,china,gdp,2019-06-17,24150260000000.0
1265,china,gdp,2019-06-18,24150260000000.0
1266,china,gdp,2019-06-19,24150260000000.0
1267,china,gdp,2019-06-20,24150260000000.0
1268,china,gdp,2019-06-21,24150260000000.0
1269,china,gdp,2019-06-22,24150260000000.0
1270,china,gdp,2019-06-23,24150260000000.0
1271,china,gdp,2019-06-24,24150260000000.0
1272,china,gdp,2019-06-25,24150260000000.0
1273,china,gdp,2019-06-26,24150260000000.0
1274,china,gdp,2019-06-27,24150260000000.0
1275,china,gdp,2019-06-28,24150260000000.0
1276,china,gdp,2019-06-29,24150260000000.0
1277,china,gdp,2019-06-30,24150260000000.0
1278,china,gdp,2019-07-01,25104630000000.0
1279,china,gdp,2019-07-02,25104630000000.0
1280,china,gdp,2019-07-03,25104630000000.0
1281,china,gdp,2019-07-04,25104630000000.0
1282,china,gdp,2019-07-05,25104630000000.0
1283,china,gdp,2019-07-06,25104630000000.0
1284,china,gdp,2019-07-07,25104630000000.0
1285,china,gdp,2019-07-08,25104630000000.0
1286,china,gdp,2019-07-09,25104630000000.0
1287,china,gdp,2019-07-10,25104630000000.0
1288,china,gdp,2019-07-11,25104630000000.0
1289,china,gdp,2019-07-12,25104630000000.0
1290,china,gdp,2019-07-13,25104630000000.0
1291,china,gdp,2019-07-14,25104630000000.0
1292,china,gdp,2019-07-15,25104630000000.0
1293,china,gdp,2019-07-16,25104630000000.0
1294,china,gdp,2019-07-17,25104630000000.0
1295,china,gdp,2019-07-18,25104630000000.0
1296,china,gdp,2019-07-19,25104630000000.0
