id,region,ticker,date,price_egp,high_egp,low_egp
644,egypt,egx30,2017-10-05,28458.0390625,28626.41015625,28377.849609375
645,egypt,egx30,2017-10-06,28458.0390625,28626.41015625,28377.849609375
646,egypt,egx30,2017-10-07,28326.58984375,28488.349609375,28282.009765625
647,egypt,egx30,2017-10-08,28326.58984375,28488.349609375,28282.009765625
648,egypt,egx30,2017-10-09,28326.58984375,28488.349609375,28282.009765625
649,egypt,egx30,2017-10-10,28490.830078125,28503.83984375,28260.19921875
650,egypt,egx30,2017-10-11,28389.5703125,28625.66015625,28330.73046875
651,egypt,egx30,2017-10-12,28459.029296875,28528.7109375,28343.3203125
652,egypt,egx30,2017-10-13,28476.4296875,28492.390625,28369.869140625
653,egypt,egx30,2017-10-14,28692.80078125,28792.060546875,28620.380859375
654,egypt,egx30,2017-10-15,28692.80078125,28792.060546875,28620.380859375
655,egypt,egx30,2017-10-16,28692.80078125,28792.060546875,28620.380859375
656,egypt,egx30,2017-10-17,28697.490234375,28777.1796875,28641.94921875
657,egypt,egx30,2017-10-18,28711.759765625,28729.33984375,28629.73046875
658,egypt,egx30,2017-10-19,28159.08984375,28798.779296875,28094.5390625
659,egypt,egx30,2017-10-20,28487.240234375,28519.759765625,28313.69921875
660,egypt,egx30,2017-10-21,28305.880859375,28557.80078125,28253.3203125
661,egypt,egx30,2017-10-22,28305.880859375,28557.80078125,28253.3203125
662,egypt,egx30,2017-10-23,28305.880859375,28557.80078125,28253.3203125
663,egypt,egx30,2017-10-24,28154.970703125,28356.099609375,28098.830078125
664,egypt,egx30,2017-10-25,28302.890625,28387.2109375,28198.560546875
665,egypt,egx30,2017-10-26,28202.380859375,28316.19921875,28102.75
666,egypt,egx30,2017-10-27,28438.849609375,28494.51953125,28305.73046875
667,egypt,egx30,2017-10-28,28336.189453125,28650.8203125,28336.189453125
668,egypt,egx30,2017-10-29,28336.189453125,28650.8203125,28336.189453125
669,egypt,egx30,2017-10-30,28336.189453125,28650.8203125,28336.189453125
670,egypt,egx30,2017-10-31,28245.5390625,28354.109375,28183.7890625
671,egypt,egx30,2017-11-01,28594.060546875,28606.58984375,28329.5
672,egypt,egx30,2017-11-02,28518.640625,28643.580078125,28492.19921875
673,egypt,egx30,2017-11-03,28603.609375,28661.2890625,28542.66015625
674,egypt,egx30,2017-11-04,28596.80078125,28650.7890625,28137.76953125
675,egypt,egx30,2017-11-05,28596.80078125,28650.7890625,28137.76953125
676,egypt,egx30,2017-11-06,28596.80078125,28650.7890625,28137.76953125
677,egypt,egx30,2017-11-07,28994.33984375,29017.400390625,28715.0703125
678,egypt,egx30,2017-11-08,28907.599609375,29123.439453125,28885.0703125
679,egypt,egx30,2017-11-09,29136.5703125,29192.509765625,28960.05078125
680,egypt,egx30,2017-11-10,29120.919921875,29237.849609375,29036.44921875
681,egypt,egx30,2017-11-11,29182.1796875,29258.5,29058.23046875
682,egypt,egx30,2017-11-12,29182.1796875,29258.5,29058.23046875
683,egypt,egx30,2017-11-13,29182.1796875,29258.5,29058.23046875
684,egypt,egx30,2017-11-14,29152.119140625,29320.029296875,29143.630859375
685,egypt,egx30,2017-11-15,28851.689453125,29106.490234375,28851.689453125
686,egypt,egx30,2017-11-16,29018.759765625,29095.490234375,28877.759765625
687,egypt,egx30,2017-11-17,29199.0390625,29341.919921875,29158.349609375
688,egypt,egx30,2017-11-18,29260.310546875,29299.869140625,29089.580078125
689,egypt,egx30,2017-11-19,29260.310546875,29299.869140625,29089.580078125
690,egypt,egx30,2017-11-20,29260.310546875,29299.869140625,29089.580078125
691,egypt,egx30,2017-11-21,29818.0703125,29818.0703125,29343.48046875
692,egypt,egx30,2017-11-22,30003.490234375,30199.689453125,29911.0703125
