id,region,ticker,date,Adj Close,price_usd,high_usd,low_usd,open_usd
2102,egypt,egx30,2021-10-02,,,,,
2103,egypt,egx30,2021-10-03,,,,,
2104,egypt,egx30,2021-10-04,,,,,
2105,egypt,egx30,2021-10-05,,,,,
2106,egypt,egx30,2021-10-06,,,,,
2107,egypt,egx30,2021-10-07,,,,,
2108,egypt,egx30,2021-10-08,,,,,
2109,egypt,egx30,2021-10-09,,,,,
2110,egypt,egx30,2021-10-10,,,,,
2111,egypt,egx30,2021-10-11,,,,,
2112,egypt,egx30,2021-10-12,,,,,
2113,egypt,egx30,2021-10-13,,,,,
2114,egypt,egx30,2021-10-14,,,,,
2115,egypt,egx30,2021-10-15,,,,,
2116,egypt,egx30,2021-10-16,,,,,
2117,egypt,egx30,2021-10-17,,,,,
2118,egypt,egx30,2021-10-18,,,,,
2119,egypt,egx30,2021-10-19,,,,,
2120,egypt,egx30,2021-10-20,,,,,
2121,egypt,egx30,2021-10-21,,,,,
2122,egypt,egx30,2021-10-22,,,,,
2123,egypt,egx30,2021-10-23,,,,,
2124,egypt,egx30,2021-10-24,,,,,
2125,egypt,egx30,2021-10-25,,,,,
2126,egypt,egx30,2021-10-26,,,,,
2127,egypt,egx30,2021-10-27,,,,,
2128,egypt,egx30,2021-10-28,,,,,
2129,egypt,egx30,2021-10-29,,,,,
2130,egypt,egx30,2021-10-30,,,,,
2131,egypt,egx30,2021-10-31,,,,,
2132,egypt,egx30,2021-11-01,,,,,
2133,egypt,egx30,2021-11-02,,,,,
2134,egypt,egx30,2021-11-03,,,,,
2135,egypt,egx30,2021-11-04,,,,,
2136,egypt,egx30,2021-11-05,,,,,
2137,egypt,egx30,2021-11-06,,,,,
2138,egypt,egx30,2021-11-07,,,,,
2139,egypt,egx30,2021-11-08,,,,,
2140,egypt,egx30,2021-11-09,,,,,
2141,egypt,egx30,2021-11-10,,,,,
2142,egypt,egx30,2021-11-11,,,,,
2143,egypt,egx30,2021-11-12,,,,,
2144,egypt,egx30,2021-11-13,,,,,
2145,egypt,egx30,2021-11-14,,,,,
2146,egypt,egx30,2021-11-15,,,,,
2147,egypt,egx30,2021-11-16,,,,,
