"Date","Value"
"03/01/1936",13.7
"04/01/1936",13.7
"05/01/1936",13.7
"06/01/1936",13.8
"07/01/1936",13.9
"08/01/1936",14
"09/01/1936",14
"10/01/1936",14
"11/01/1936",14
"12/01/1936",14
"01/01/1937",14.1
"02/01/1937",14.1
"03/01/1937",14.2
"04/01/1937",14.3
"05/01/1937",14.4
"06/01/1937",14.4
"07/01/1937",14.5
"08/01/1937",14.5
"09/01/1937",14.6
"10/01/1937",14.6
"11/01/1937",14.5
"12/01/1937",14.4
"01/01/1938",14.2
"02/01/1938",14.1
"03/01/1938",14.1
"04/01/1938",14.2
"05/01/1938",14.1
"06/01/1938",14.1
"07/01/1938",14.1
"08/01/1938",14.1
"09/01/1938",14.1
"10/01/1938",14
"11/01/1938",14
"12/01/1938",14
"01/01/1939",14
"02/01/1939",13.9
"03/01/1939",13.9
"04/01/1939",13.8
"05/01/1939",13.8
"06/01/1939",13.8
"07/01/1939",13.8
"08/01/1939",13.8
"09/01/1939",14.1
"10/01/1939",14
"11/01/1939",14
"12/01/1939",14
"01/01/1940",13.9
"02/01/1940",14
"03/01/1940",14
"04/01/1940",14
"05/01/1940",14
"06/01/1940",14.1
"07/01/1940",14
"08/01/1940",14
"09/01/1940",14
"10/01/1940",14
"11/01/1940",14
"12/01/1940",14.1
"01/01/1941",14.1
"02/01/1941",14.1
"03/01/1941",14.2
"04/01/1941",14.3
"05/01/1941",14.4
"06/01/1941",14.7
"07/01/1941",14.7
"08/01/1941",14.9
"09/01/1941",15.1
"10/01/1941",15.3
"11/01/1941",15.4
"12/01/1941",15.5
"01/01/1942",15.7
"02/01/1942",15.8
"03/01/1942",16
"04/01/1942",16.1
"05/01/1942",16.3
"06/01/1942",16.3
"07/01/1942",16.4
"08/01/1942",16.5
"09/01/1942",16.5
"10/01/1942",16.7
"11/01/1942",16.8
"12/01/1942",16.9
"01/01/1943",16.9
"02/01/1943",16.9
"03/01/1943",17.2
"04/01/1943",17.4
"05/01/1943",17.5
"06/01/1943",17.5
"07/01/1943",17.4
"08/01/1943",17.3
"09/01/1943",17.4
"10/01/1943",17.4
"11/01/1943",17.4
"12/01/1943",17.4
"01/01/1944",17.4
"02/01/1944",17.4
"03/01/1944",17.4
"04/01/1944",17.5
"05/01/1944",17.5
"06/01/1944",17.6
"07/01/1944",17.7
"08/01/1944",17.7
"09/01/1944",17.7
"10/01/1944",17.7
"11/01/1944",17.7
"12/01/1944",17.8
"01/01/1945",17.8
"02/01/1945",17.8
"03/01/1945",17.8
"04/01/1945",17.8
"05/01/1945",17.9
"06/01/1945",18.1
"07/01/1945",18.1
"08/01/1945",18.1
"09/01/1945",18.1
"10/01/1945",18.1
"11/01/1945",18.1
"12/01/1945",18.2
"01/01/1946",18.2
"02/01/1946",18.1
"03/01/1946",18.3
"04/01/1946",18.4
"05/01/1946",18.5
"06/01/1946",18.7
"07/01/1946",19.8
"08/01/1946",20.2
"09/01/1946",20.4
"10/01/1946",20.8
"11/01/1946",21.3
"12/01/1946",21.5
"01/01/1947",21.5
"02/01/1947",21.5
"03/01/1947",21.9
"04/01/1947",21.9
"05/01/1947",21.9
"06/01/1947",22
"07/01/1947",22.2
"08/01/1947",22.5
"09/01/1947",23
"10/01/1947",23
"11/01/1947",23.1
"12/01/1947",23.4
"01/01/1948",23.7
"02/01/1948",23.5
"03/01/1948",23.4
"04/01/1948",23.8
"05/01/1948",23.9
"06/01/1948",24.1
"07/01/1948",24.4
"08/01/1948",24.5
"09/01/1948",24.5
"10/01/1948",24.4
"11/01/1948",24.2
"12/01/1948",24.1
"01/01/1949",24
"02/01/1949",23.8
"03/01/1949",23.8
"04/01/1949",23.9
"05/01/1949",23.8
"06/01/1949",23.9
"07/01/1949",23.7
"08/01/1949",23.8
"09/01/1949",23.9
"10/01/1949",23.7
"11/01/1949",23.8
"12/01/1949",23.6
"01/01/1950",23.5
"02/01/1950",23.5
"03/01/1950",23.6
"04/01/1950",23.6
"05/01/1950",23.7
"06/01/1950",23.8
"07/01/1950",24.1
"08/01/1950",24.3
"09/01/1950",24.4
"10/01/1950",24.6
"11/01/1950",24.7
"12/01/1950",25
"01/01/1951",25.4
"02/01/1951",25.7
"03/01/1951",25.8
"04/01/1951",25.8
"05/01/1951",25.9
"06/01/1951",25.9
"07/01/1951",25.9
"08/01/1951",25.9
"09/01/1951",26.1
"10/01/1951",26.2
"11/01/1951",26.4
"12/01/1951",26.5
"01/01/1952",26.5
"02/01/1952",26.3
"03/01/1952",26.3
"04/01/1952",26.4
"05/01/1952",26.4
"06/01/1952",26.5
"07/01/1952",26.7
"08/01/1952",26.7
"09/01/1952",26.7
"10/01/1952",26.7
"11/01/1952",26.7
"12/01/1952",26.7
"01/01/1953",26.6
"02/01/1953",26.5
"03/01/1953",26.6
"04/01/1953",26.6
"05/01/1953",26.7
"06/01/1953",26.8
"07/01/1953",26.8
"08/01/1953",26.9
"09/01/1953",26.9
"10/01/1953",27
"11/01/1953",26.9
"12/01/1953",26.9
"01/01/1954",26.9
"02/01/1954",26.9
"03/01/1954",26.9
"04/01/1954",26.8
"05/01/1954",26.9
"06/01/1954",26.9
