id,country,date,ticker,value_in_egp
9264,egypt,2022-05-04,low_price_egp,"34,394.45"
9265,egypt,2022-05-05,open_price_egp,"34,768.02"
9266,egypt,2022-05-05,price_oz_egp,"34,578.18"
9267,egypt,2022-05-05,high_price_egp,"35,297.38"
9268,egypt,2022-05-05,low_price_egp,"34,603.45"
9269,egypt,2022-05-06,price_oz_egp,"34,701.66"
9270,egypt,2022-05-06,high_price_egp,"34,981.28"
9271,egypt,2022-05-06,open_price_egp,"34,686.82"
9272,egypt,2022-05-06,low_price_egp,"34,480.84"
9273,egypt,2022-05-07,high_price_egp,"34,918.46"
9274,egypt,2022-05-07,price_oz_egp,"34,158.23"
9275,egypt,2022-05-07,low_price_egp,"34,213.17"
9276,egypt,2022-05-07,open_price_egp,"34,878.48"
9277,egypt,2022-05-08,price_oz_egp,"34,158.23"
9278,egypt,2022-05-08,high_price_egp,"34,918.46"
9279,egypt,2022-05-08,low_price_egp,"34,213.17"
9280,egypt,2022-05-08,open_price_egp,"34,878.48"
9281,egypt,2022-05-09,low_price_egp,"34,213.17"
9282,egypt,2022-05-09,price_oz_egp,"34,158.23"
9283,egypt,2022-05-09,high_price_egp,"34,918.46"
9284,egypt,2022-05-09,open_price_egp,"34,878.48"
9285,egypt,2022-05-10,price_oz_egp,"33,871.88"
9286,egypt,2022-05-10,open_price_egp,"34,262.90"
9287,egypt,2022-05-10,low_price_egp,"33,919.32"
9288,egypt,2022-05-10,high_price_egp,"34,550.09"
9289,egypt,2022-05-11,price_oz_egp,"33,983.76"
9290,egypt,2022-05-11,open_price_egp,"33,973.58"
9291,egypt,2022-05-11,low_price_egp,"33,710.63"
9292,egypt,2022-05-11,high_price_egp,"34,386.98"
9293,egypt,2022-05-12,open_price_egp,"34,058.15"
9294,egypt,2022-05-12,low_price_egp,"33,352.19"
9295,egypt,2022-05-12,high_price_egp,"34,237.48"
9296,egypt,2022-05-12,price_oz_egp,"33,277.66"
9297,egypt,2022-05-13,open_price_egp,"33,367.14"
9298,egypt,2022-05-13,high_price_egp,"33,499.26"
9299,egypt,2022-05-13,price_oz_egp,"33,081.31"
9300,egypt,2022-05-13,low_price_egp,"32,953.19"
9301,egypt,2022-05-14,high_price_egp,"33,401.87"
